index,project,body,methodName,relativePath,absolutePath,javaDoc,spanMethod,coverage,tokensPerMethod,tokensFirstLine,javaDocFirstSentence,perturbed_eval_1,pegasusPerturbed,pegagusPerturbedEntropy,pivotingPerturbed
106,acs-aem-commons,"private boolean isAllowedUser(Resource resource) throws RepositoryException{
    ResourceResolver resourceResolver = resource.getResourceResolver();
    String userId = resourceResolver.getUserID();
    if (!userId.equals(ADMIN_ID)) {
        if (this.config.getWhitelistedServiceUsers().contains(userId)) {
            return true;
        }
        Session session = resourceResolver.adaptTo(Session.class);
        User currentUser = (User) getUserManager(session).getAuthorizable(userId);
        if (currentUser != null && !currentUser.isSystemUser()) {
            return true;
        } else {
            LOG.trace(""Avoiding binary sync b/c this is a non-whitelisted service user: {}"", session.getUserID());
        }
    } else {
        LOG.trace(""Avoiding binary sync for admin user"");
    }
    return false;
}",isAllowedUser,com/adobe/acs/commons/remoteassets/impl/RemoteAssetDecorator.java,/bundle/src/main/java/com/adobe/acs/commons/remoteassets/impl/RemoteAssetDecorator.java,"/**
     * Check if the user is allowed to sync binaries.
     *
     * Service users, as well as the admin user, are prevented from sync'ing
     * binaries to ensure that some back end procress traversing the DAM doesn't
     * trigger a sync of the entire DAM, thus subverting the benefits of
     * remote assets.
     *
     * Service users can be whitelisted via remote aseets configuration if it
     * is desired for a particular service user to be able to sync binaries.
     *
     * @param resource The asset content Resource to sync binaries for.
     * @return True if user is allowed to sync binaries, else false.
     * @throws RepositoryException
     */",154-188,"('isAllowedUser', {'INSTRUCTION': {'covered': 48, 'missed': 0}, 'BRANCH': {'covered': 7, 'missed': 1}, 'LINE': {'covered': 13, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",136.0,10.0,Check if the user is allowed to sync binaries.,This method makes it possible to check whether the user is authorised to synchronise binaries. Both service users and the administrator user are prevented from synchronising binaries. The configuration of remote assets allows users to be added to a list.,"If the user is allowed to sync, check it.",0.275394665925662,  Check if the user has permission to synchronize the binaries.
107,jackson-databind,"public T valueToTree(Object fromValue) throws IllegalArgumentException{
    if (fromValue == null) {
        return (T) getNodeFactory().nullNode();
    }
    final SerializationConfig config = getSerializationConfig().without(SerializationFeature.WRAP_ROOT_VALUE);
    final DefaultSerializerProvider context = _serializerProvider(config);
    TokenBuffer buf = context.bufferForValueConversion(this);
    if (isEnabled(DeserializationFeature.USE_BIG_DECIMAL_FOR_FLOATS)) {
        buf = buf.forceUseOfBigDecimal(true);
    }
    try {
        context.serializeValue(buf, fromValue);
        try (JsonParser p = buf.asParser()) {
            return readTree(p);
        }
    } catch (IOException e) {
        throw new IllegalArgumentException(e.getMessage(), e);
    }
}",valueToTree,com/fasterxml/jackson/databind/ObjectMapper.java,/src/main/java/com/fasterxml/jackson/databind/ObjectMapper.java,"/**
     * Method that is reverse of {@link #treeToValue}: it
     * will convert given Java value (usually bean) into its
     * equivalent Tree mode {@link JsonNode} representation.
     * Functionally similar to serializing value into token stream and parsing that
     * stream back as tree model node,
     * but more efficient as {@link TokenBuffer} is used to contain the intermediate
     * representation instead of fully serialized contents.
     *<p>
     * NOTE: while results are usually identical to that of serialization followed
     * by deserialization, this is not always the case. In some cases serialization
     * into intermediate representation will retain encapsulation of things like
     * raw value ({@link com.fasterxml.jackson.databind.util.RawValue}) or basic
     * node identity ({@link JsonNode}). If so, result is a valid tree, but values
     * are not re-constructed through actual format representation. So if transformation
     * requires actual materialization of encoded content,
     * it will be necessary to do actual serialization.
     * 
     * @param <T> Actual node type; usually either basic {@link JsonNode} or
     *  {@link com.fasterxml.jackson.databind.node.ObjectNode}
     * @param fromValue Java value to convert
     *
     * @return (non-null) Root node of the resulting content tree: in case of
     *   {@code null} value node for which {@link JsonNode#isNull()} returns {@code true}.
     */",3344-3396,"('valueToTree', {'INSTRUCTION': {'covered': 41, 'missed': 8}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 10, 'missed': 2}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",136.0,34.0,Method that is reverse of {@link #treeToValue}: it  will convert given Java value (usually bean) into its  equivalent Tree mode {@link JsonNode} representation.,Reverse method to {@link #treeToValue}: the provided Java value (usually a bean) is converted into its equivalent representation in Tree mode {@link JsonNode}. It is used to hold the intermediate representation instead of the fully serialised content.,"The method is reverse of @link #treeToValue, it will convert given Java value into its equivalent Tree mode.",0.744966993140192,  Reverse method of {@link #treeToValue}: it will convert the given Java value (usually bean) to its equivalent in Tree view {@link JsonNode representation}.
108,cdk,"private static PermutationParity fill2DCoordinates(IAtomContainer container, IAtom a, List<IBond> connected, Point2d[] coordinates, int[] elevations, int offset){
    int i = 0;
    coordinates[offset + 1] = a.getPoint2d();
    elevations[offset + 1] = 0;
    int[] indices = new int[2];
    for (IBond bond : connected) {
        if (!isDoubleBond(bond)) {
            IAtom other = bond.getOther(a);
            coordinates[i + offset] = other.getPoint2d();
            elevations[i + offset] = elevation(bond, a);
            indices[i] = container.indexOf(other);
            i++;
        }
    }
    if (i == 1) {
        return PermutationParity.IDENTITY;
    } else {
        return new BasicPermutationParity(indices);
    }
}",fill2DCoordinates,org/openscience/cdk/hash/stereo/GeometricCumulativeDoubleBondFactory.java,/tool/hash/src/main/java/org/openscience/cdk/hash/stereo/GeometricCumulativeDoubleBondFactory.java,"/**
     * Fill the {@literal coordinates} and {@literal elevation} from the given
     * offset index. If there is only one connection then the second entry (from
     * the offset) will use the coordinates of <i>a</i>. The permutation parity
     * is also built and returned.
     *
     * @param container   atom container
     * @param a           the central atom
     * @param connected   bonds connected to the central atom
     * @param coordinates the coordinates array to fill
     * @param elevations  the elevations of the connected atoms
     * @param offset      current location in the offset array
     * @return the permutation parity
     */",215-253,"('fill2DCoordinates', {'INSTRUCTION': {'covered': 68, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 15, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",164.0,19.0,Fill the {@literal coordinates} and {@literal elevation} from the given  offset index.,"Starting from the given offset index, it fills the {@ literal coordinates} and {@ literal heights}. The second entry (from the offset) will use the coordinates of <i> a </i> in case there is only one connection.",The coordinates and elevation are from the offset index.,0.356782922290219,  Fill in the {coordinates @literal} and {@literal elevation} from the given offset index.
109,matsim-libs,"protected Path constructPath(Node fromNode, Node toNode, double startTime, double arrivalTime){
    List<Node> nodes = new ArrayList<>();
    List<Link> links = new ArrayList<>();
    nodes.add(0, toNode);
    Link tmpLink = getData(toNode).getPrevLink();
    if (tmpLink != null) {
        while (tmpLink.getFromNode() != fromNode) {
            links.add(0, tmpLink);
            nodes.add(0, tmpLink.getFromNode());
            tmpLink = getData(tmpLink.getFromNode()).getPrevLink();
        }
        links.add(0, tmpLink);
        nodes.add(0, tmpLink.getFromNode());
    }
    DijkstraNodeData toNodeData = getData(toNode);
    Path path = new Path(nodes, links, arrivalTime - startTime, toNodeData.getCost());
    return path;
}",constructPath,org/matsim/core/router/Dijkstra.java,/matsim/src/main/java/org/matsim/core/router/Dijkstra.java,"/**
         * Constructs the path after the algorithm has been run.
         *
         * @param fromNode
         *            The node where the path starts.
         * @param toNode
         *            The node where the path ends.
         * @param startTime
         *            The time when the trip starts.
         */",321-351,"('constructPath', {'INSTRUCTION': {'covered': 65, 'missed': 0}, 'BRANCH': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 14, 'missed': 0}, 'COMPLEXITY': {'covered': 3, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",176.0,10.0,Constructs the path after the algorithm has been run.,"After execution of the algorithm, the path is constructed",The path is constructed after the algorithm has been run.,0.228797063057459,  Constructs the path after the algorithm is run.
110,matsim-libs,"public static void copyTo(Attributes from, Attributes to){
    for (var entry : from.getAsMap().entrySet()) {
        to.putAttribute(entry.getKey(), entry.getValue());
    }
}",copyTo,org/matsim/utils/objectattributes/attributable/AttributesUtils.java,/matsim/src/main/java/org/matsim/utils/objectattributes/attributable/AttributesUtils.java,"/**
         * Adds the mappings from ""from"" to ""to"". Nothing is done to copy the Object themselves,
         * which should be fine for 99.9% of the usecases of Attributes (value objects)
         */",31-39,"('copyTo', {'INSTRUCTION': {'covered': 22, 'missed': 0}, 'BRANCH': {'covered': 2, 'missed': 0}, 'LINE': {'covered': 4, 'missed': 0}, 'COMPLEXITY': {'covered': 2, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",47.0,12.0,"Adds the mappings from ""from"" to ""to"".","The method in question allows mappings to be added from 'from' to 'to'. While for copying the objects themselves, nothing is done, which should be fine for 99.9% of Attribute (value object) use cases.","The mappings are changed from ""from"" to ""to"".",0.384669713515458,"  Adds mappings from ""from"" to ""to""."
111,jackson-databind,"public JsonNode replace(String propertyName, JsonNode value){
    if (value == null) {
        value = nullNode();
    }
    return _children.put(propertyName, value);
}",replace,com/fasterxml/jackson/databind/node/ObjectNode.java,/src/main/java/com/fasterxml/jackson/databind/node/ObjectNode.java,"/**
     * Method for replacing value of specific property with passed
     * value, and returning value (or null if none).
     *
     * @param propertyName Property of which value to replace
     * @param value Value to set property to, replacing old value if any
     * 
     * @return Old value of the property; null if there was no such property
     *   with value
     * 
     * @since 2.1
     */",439-457,"('replace', {'INSTRUCTION': {'covered': 9, 'missed': 3}, 'BRANCH': {'covered': 1, 'missed': 1}, 'LINE': {'covered': 2, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",36.0,21.0,"Method for replacing value of specific property with passed  value, and returning value (or null if none).",The value of a specific property is replaced with the passed value and returns the value (or null if there is none).,The method for replacing the value of the property with another is called a substitution.,0.771889237090254,  How to replace the value of a specific property with a passed value and return the value (or null if none).
112,cdk,"protected static String formatMDLFloat(float fl){
    String s = """", fs = """";
    int l;
    NumberFormat nf = NumberFormat.getNumberInstance(Locale.ENGLISH);
    nf.setMinimumIntegerDigits(1);
    nf.setMaximumIntegerDigits(4);
    nf.setMinimumFractionDigits(4);
    nf.setMaximumFractionDigits(4);
    nf.setGroupingUsed(false);
    if (Double.isNaN(fl) || Double.isInfinite(fl))
        s = ""0.0000"";
    else
        s = nf.format(fl);
    l = 10 - s.length();
    for (int f = 0; f < l; f++) fs += "" "";
    fs += s;
    return fs;
}",formatMDLFloat,org/openscience/cdk/io/MDLV2000Writer.java,/storage/ctab/src/main/java/org/openscience/cdk/io/MDLV2000Writer.java,"/**
     * Formats a float to fit into the connectiontable and changes it
     * to a String.
     *
     * @param fl The float to be formated
     * @return The String to be written into the connectiontable
     */",1347-1372,"('formatMDLFloat', {'INSTRUCTION': {'covered': 67, 'missed': 3}, 'BRANCH': {'covered': 4, 'missed': 2}, 'LINE': {'covered': 14, 'missed': 1}, 'COMPLEXITY': {'covered': 2, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",134.0,15.0,Formats a float to fit into the connectiontable and changes it  to a String.,This method formats a float to insert it into the connection table and changes it to a string.,A float is formatted to fit into the connectiontable and changed to a String.,0.806747037444189,  Formats a float to fit the connection table and replaces it with a string.
113,matsim-libs,"public static Carriers createShipmentVRPCarrierFromServiceVRPSolution(Carriers carriers){
    Carriers carriersWithShipments = new Carriers();
    for (Carrier carrier : carriers.getCarriers().values()) {
        Carrier carrierWS = CarrierUtils.createCarrier(carrier.getId());
        if (carrier.getShipments().size() > 0) {
            copyShipments(carrierWS, carrier);
        }
        if (carrier.getServices().size() > 0) {
            createShipmentsFromServices(carrierWS, carrier);
        }
        carrierWS.setCarrierCapabilities(carrier.getCarrierCapabilities());
        carriersWithShipments.addCarrier(carrierWS);
    }
    return carriersWithShipments;
}",createShipmentVRPCarrierFromServiceVRPSolution,org/matsim/contrib/freight/utils/FreightUtils.java,/contribs/freight/src/main/java/org/matsim/contrib/freight/utils/FreightUtils.java,"/**
         * Creates a new {@link Carriers} container only with {@link CarrierShipment}s
         * for creating a new VRP. As consequence of the transformation of
         * {@link CarrierService}s to {@link CarrierShipment}s the solution of the VRP
         * can have tours with vehicles returning to the depot and load for another tour
         * instead of creating another vehicle with additional (fix) costs. <br/>
         * The method is meant for multi-depot problems. Here, the original ""services""
         * input does not have an assignment of services to depots. The solution to the
         * problem, however, does. So the assignment is taken from that solution, and
         * each returned {@link Carrier} has that depot as pickup location in each
         * shipment.
         *
         * @param carriers carriers with a Solution (result of solving the VRP).
         * @return Carriers carriersWithShipments
         */",143-174,"('createShipmentVRPCarrierFromServiceVRPSolution', {'INSTRUCTION': {'covered': 44, 'missed': 0}, 'BRANCH': {'covered': 6, 'missed': 0}, 'LINE': {'covered': 11, 'missed': 0}, 'COMPLEXITY': {'covered': 4, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",116.0,23.0,Creates a new {@link Carriers} container only with {@link CarrierShipment}s  for creating a new VRP.,"To create a new VRP create a new container {@link Carriers} only with {@link CarrierShipment}.  The VRP solution can have tours with vehicles that return to the depot and load for another tour instead of creating another vehicle with additional (fixed) costs As a consequence of transforming {@link CarrierService}s to {@link CarrierShipment}s   The method makes it possible to handle problems with multiple repositories. The original 'services' input does not provide for assigning services to depots.  Therefore, the assignment is taken from that solution and each {@link Carrier} returned has that depot as pick-up location in each dispatch.",A new container is created with the help of the CarrierShipment.,0.618711687071035,  Creates a container {@link Carriers} only with {@link CarrierShipment} to create a new VRP.
114,weblogic-kubernetes-operator,"public static boolean isFirstNewer(V1ObjectMeta first, V1ObjectMeta second){
    if (second == null) {
        return true;
    }
    if (first == null) {
        return false;
    }
    OffsetDateTime time1 = first.getCreationTimestamp();
    OffsetDateTime time2 = second.getCreationTimestamp();
    if (time1.equals(time2)) {
        return getResourceVersion(first).compareTo(getResourceVersion(second)) > 0;
    } else {
        return time1.isAfter(time2);
    }
}",isFirstNewer,oracle/kubernetes/operator/helpers/KubernetesUtils.java,/operator/src/main/java/oracle/kubernetes/operator/helpers/KubernetesUtils.java,"/**
   * Returns true if the first metadata indicates a newer resource than does the second. 'Newer'
   * indicates that the creation time is later. If two items have the same creation time, a higher
   * resource version indicates the newer resource.
   *
   * @param first  the first item to compare
   * @param second the second item to compare
   * @return true if the first object is newer than the second object
   */",122-147,"('isFirstNewer', {'INSTRUCTION': {'covered': 30, 'missed': 2}, 'BRANCH': {'covered': 7, 'missed': 1}, 'LINE': {'covered': 8, 'missed': 1}, 'COMPLEXITY': {'covered': 4, 'missed': 1}, 'METHOD': {'covered': 1, 'missed': 0}})",91.0,15.0,Returns true if the first metadata indicates a newer resource than does the second.,"If the first metadata indicates a more recent resource than the second returns True. Whereas, in the case where two elements have the same creation time, a resource version plus resource version indicates the more recent resource.","If the first and second gis show a newer resource, then it's true.",0.47128674647248,  Returns true if the first metadata indicates a newer resource than the second.
115,cdk,"public static Pattern findSubstructure(IAtomContainer query){
    boolean isQuery = query instanceof IQueryAtomContainer;
    return new Ullmann(query, isQuery ? AtomMatcher.forQuery() : AtomMatcher.forElement(), isQuery ? BondMatcher.forQuery() : BondMatcher.forOrder());
}",findSubstructure,org/openscience/cdk/isomorphism/Ullmann.java,/base/isomorphism/src/main/java/org/openscience/cdk/isomorphism/Ullmann.java,"/**
     * Create a pattern which can be used to find molecules which contain the
     * {@code query} structure.
     *
     * @param query the substructure to find
     * @return a pattern for finding the {@code query}
     */",122-133,"('findSubstructure', {'INSTRUCTION': {'covered': 14, 'missed': 4}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 3, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",52.0,20.0,Create a pattern which can be used to find molecules which contain the  {@code query} structure.,The method allows the creation of a model that can be used to find molecules that contain the structure {@query code}.,A pattern can be created to find the @code query structure.,0.687299894559208,  Create a template that can be used to find molecules that contain the {@code query} structure.
116,cron-utils,"public CronDefinition instance(){
    final Set<CronConstraint> validations = new HashSet<>();
    validations.addAll(cronConstraints);
    final List<FieldDefinition> values = new ArrayList<>(fields.values());
    values.sort(FieldDefinition.createFieldDefinitionComparator());
    return new CronDefinition(values, validations, matchDayOfWeekAndDayOfMonth);
}",instance,com/cronutils/model/definition/CronDefinitionBuilder.java,/src/main/java/com/cronutils/model/definition/CronDefinitionBuilder.java,"/**
     * Creates a new CronDefinition instance with provided field definitions.
     *
     * @return returns CronDefinition instance, never null
     */",156-167,"('instance', {'INSTRUCTION': {'covered': 27, 'missed': 0}, 'LINE': {'covered': 5, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",69.0,10.0,Creates a new CronDefinition instance with provided field definitions.,"From the provided field definitions, create a new instance of CronDefinition",A new CronDefinition instance is created with field definitions.,0.371087579804145,  Creates a CronDefinition instance with the provided field definitions.
117,weblogic-kubernetes-operator,"public V1TokenReviewStatus check(String principal, String token, String namespace){
    // Don't expose the token since it's a credential
    LOGGER.entering(principal);
    V1TokenReview result = null;
    try {
        boolean allowed = authorizationProxy.check(principal, AuthorizationProxy.Operation.create, AuthorizationProxy.Resource.TOKENREVIEWS, null, namespace == null ? AuthorizationProxy.Scope.cluster : AuthorizationProxy.Scope.namespace, namespace);
        if (allowed) {
            result = new CallBuilder().createTokenReview(prepareTokenReview(token));
        } else {
            LOGGER.warning(MessageKeys.CANNOT_CREATE_TOKEN_REVIEW);
        }
    } catch (ApiException e) {
        LOGGER.severe(MessageKeys.APIEXCEPTION_FROM_TOKEN_REVIEW, e);
        LOGGER.exiting(null);
        return null;
    }
    LOGGER.fine(""Returned TokenReview"", result);
    V1TokenReviewStatus status = result != null ? result.getStatus() : null;
    LOGGER.exiting(status);
    return status;
}",check,oracle/kubernetes/operator/helpers/AuthenticationProxy.java,/operator/src/main/java/oracle/kubernetes/operator/helpers/AuthenticationProxy.java,"/**
   * Check if the specified access token can be authenticated.
   *
   * @param principal The user, group or service account.
   * @param token The access token that identifies the user.
   * @param namespace Namespace
   * @return V1TokenReviewStatus containing either info about the authenticated user or an error
   *     explaining why the user couldn't be authenticated
   */",20-57,"('check', {'INSTRUCTION': {'covered': 55, 'missed': 14}, 'BRANCH': {'covered': 4, 'missed': 2}, 'LINE': {'covered': 12, 'missed': 5}, 'COMPLEXITY': {'covered': 2, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",167.0,10.0,Check if the specified access token can be authenticated.,The method verifies whether the specified access token can be authenticated. The method verifies whether the specified access token can be authenticated. Return V1TokenReviewStatus containing either info about the authenticated user or an error.,"If the access token can be verified, check it.",0.135052338432147,  Check if the specified access token can be authenticated.
118,jooby,"public static String unsign(@Nonnull final String value, @Nonnull final String secret){
    int sep = value.indexOf(""|"");
    if (sep <= 0) {
        return null;
    }
    String str = value.substring(sep + 1);
    return sign(str, secret).equals(value) ? str : null;
}",unsign,io/jooby/Cookie.java,/jooby/src/main/java/io/jooby/Cookie.java,"/**
   * Un-sign a value, previously signed with {@link #sign(String, String)}.
   * Produces a nonnull value or <code>null</code> for invalid.
   *
   * @param value A signed value.
   * @param secret A secret key.
   * @return A new signed value or null.
   */",464-479,"('unsign', {'INSTRUCTION': {'covered': 21, 'missed': 3}, 'BRANCH': {'covered': 2, 'missed': 2}, 'LINE': {'covered': 4, 'missed': 1}, 'COMPLEXITY': {'covered': 1, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",69.0,19.0,"Un-sign a value, previously signed with {@link #sign(String, String)}.","In this method an Un-sign a value, previously signed with {@link #sign(String, String)}, produces a nonnull value or <code>null</code> for invalid.","Un-sign a value that was previously signed with the @link #sign(String, String)",0.798209843641386,"  Unsign a value previously signed with {@link #sign(String, String)}."
119,cdk,"public IAtomContainer kekuliseAromaticRings(IAtomContainer molecule) throws CDKException{
    IAtomContainer mNew = null;
    try {
        mNew = (IAtomContainer) molecule.clone();
    } catch (Exception e) {
        throw new CDKException(""Failed to clone source molecule"");
    }
    IRingSet ringSet;
    try {
        ringSet = removeExtraRings(mNew);
    } catch (CDKException x) {
        throw x;
    } catch (Exception x) {
        throw new CDKException(""failure in SSSRFinder.findAllRings"", x);
    }
    if (ringSet == null) {
        throw new CDKException(""failure in SSSRFinder.findAllRings"");
    }
    // We need to establish which rings share bonds and set up sets of such interdependant rings
    List<Integer[]> rBondsArray = null;
    List<List<Integer>> ringGroups = null;
    // Start by getting a list (same dimensions and ordering as ringset) of all the ring bond numbers in the reduced ring set
    rBondsArray = getRingSystem(mNew, ringSet);
    // Now find out which share a bond and assign them accordingly to groups
    ringGroups = assignRingGroups(rBondsArray);
    // Loop through each group of rings checking all choices of double bond combis and seeing if you can get a
    // proper molecule.
    for (int i = 0; i < ringGroups.size(); i++) {
        // Set all ring bonds with single order to allow Matrix solving to work
        setAllRingBondsSingleOrder(ringGroups.get(i), ringSet);
        // Set up  lists of atoms, bonds and atom pairs for this ringGroup
        List<Integer> atomNos = null;
        atomNos = getAtomNosForRingGroup(mNew, ringGroups.get(i), ringSet);
        List<Integer> bondNos = null;
        bondNos = getBondNosForRingGroup(mNew, ringGroups.get(i), ringSet);
        // Array of same dimensions as bondNos (cols in Matrix)
        List<Integer[]> atomNoPairs = null;
        atomNoPairs = getAtomNoPairsForRingGroup(mNew, bondNos);
        // Set up ajacency Matrix
        Matrix M = new Matrix(atomNos.size(), bondNos.size());
        for (int x = 0; x < M.getRows(); x++) {
            for (int y = 0; y < M.getCols(); y++) {
                if (Objects.equals(atomNos.get(x), atomNoPairs.get(y)[0])) {
                    M.set(x, y, 1);
                } else {
                    if (Objects.equals(atomNos.get(x), atomNoPairs.get(y)[1])) {
                        M.set(x, y, 1);
                    } else {
                        M.set(x, y, 0);
                    }
                }
            }
        }
        // Array of same dimensions as atomNos (rows in Matrix)
        List<Integer> freeValencies = null;
        freeValencies = getFreeValenciesForRingGroup(mNew, atomNos, M, ringSet);
        // Array of ""answers""
        List<Integer> bondOrders = new ArrayList<Integer>();
        for (int j = 0; j < bondNos.size(); j++) {
            bondOrders.add(0);
        }
        if (solveMatrix(M, atomNos, bondNos, freeValencies, atomNoPairs, bondOrders)) {
            for (int j = 0; j < bondOrders.size(); j++) {
                mNew.getBond(bondNos.get(j)).setOrder(bondOrders.get(j) == 1 ? IBond.Order.SINGLE : IBond.Order.DOUBLE);
            }
        } else {
            // TODO Put any failure code here
        }
    }
    return mNew;
}",kekuliseAromaticRings,org/openscience/cdk/smiles/FixBondOrdersTool.java,/legacy/src/main/java/org/openscience/cdk/smiles/FixBondOrdersTool.java,"/**
     * kekuliseAromaticRings - function to add double/single bond order information for molecules having rings containing all atoms marked SP2 or Planar3 hybridisation.
     * @param molecule The {@link IAtomContainer} to kekulise
     * @return The {@link IAtomContainer} with kekule structure
     * @throws CDKException
     */",140-231,"('kekuliseAromaticRings', {'INSTRUCTION': {'covered': 211, 'missed': 21}, 'BRANCH': {'covered': 18, 'missed': 2}, 'LINE': {'covered': 36, 'missed': 7}, 'COMPLEXITY': {'covered': 9, 'missed': 2}, 'METHOD': {'covered': 1, 'missed': 0}})",527.0,22.0,kekuliseAromaticRings - function to add double/single bond order information for molecules having rings containing all atoms marked SP2 or Planar3 hybridisation.,kekuliseAromaticRings-function to add double/single bond order information for molecules that have rings that contain all atoms marked with SP2 or Planar3 hybridisation,The kekuliseAromaticRings function adds double/ single bond order information for the molecule with all the atoms marked Planar3 hybridisation.,1.03522879103686,kekuliseAromaticRings - function to add double/single bond order information for molecules with rings containing all atoms labeled SP2 or Hybridation Planar3.
120,weblogic-kubernetes-operator,"public static Step updateExporterSidecars(){
    return new Step() {

        @Override
        public NextAction apply(Packet packet) {
            return doNext(updateExportersWithConfiguration(packet), packet);
        }

        private Step updateExportersWithConfiguration(Packet packet) {
            final Collection<String> serverNames = getExporterEnabledServerNames(packet);
            if (serverNames.isEmpty()) {
                return getNext();
            } else {
                return Step.chain(SecretHelper.createAuthorizationSourceStep(), RunInParallel.perServer(serverNames, ConfigurationVerificationStartStep::new));
            }
        }

        private Collection<String> getExporterEnabledServerNames(Packet packet) {
            return getAllServerNames(packet).stream().filter(name -> hasExporterConfiguration(packet, name)).filter(name -> hasExporterSidecar(packet, name)).collect(Collectors.toList());
        }

        private Collection<String> getAllServerNames(Packet packet) {
            return DomainPresenceInfo.fromPacket(packet).map(DomainPresenceInfo::getServerNames).orElse(Collections.emptyList());
        }

        // Change this to handle per-cluster configuration
        @SuppressWarnings(""unused"")
        private boolean hasExporterConfiguration(Packet packet, String serverName) {
            return DomainPresenceInfo.fromPacket(packet).map(DomainPresenceInfo::getDomain).map(Domain::getMonitoringExporterConfiguration).isPresent();
        }

        private boolean hasExporterSidecar(Packet packet, String serverName) {
            return DomainPresenceInfo.fromPacket(packet).map(dpi -> dpi.getServerPod(serverName)).map(this::hasExporterSidecar).orElse(false);
        }

        private boolean hasExporterSidecar(V1Pod pod) {
            return Optional.ofNullable(pod).map(V1Pod::getSpec).map(V1PodSpec::getContainers).orElse(Collections.emptyList()).stream().anyMatch(c -> c.getName().equals(KubernetesConstants.EXPORTER_CONTAINER_NAME));
        }
    };
}",updateExporterSidecars,oracle/kubernetes/operator/steps/MonitoringExporterSteps.java,/operator/src/main/java/oracle/kubernetes/operator/steps/MonitoringExporterSteps.java,"/**
   * Creates a step to initiate processing for all servers in the domain for which a configuration is defined,
   * checking the configuration of each exporter sidecar and updating it if necessary.
   *
   * Expects packet to contain DomainPresenceInfo and:
   *     DOMAIN_TOPOLOGY              the domain configuration
   *     AUTHORIZATION_HEADER_FACTORY a factory to create an http authentication header
   */",44-107,"('updateExporterSidecars', {'INSTRUCTION': {'covered': 4, 'missed': 0}, 'LINE': {'covered': 1, 'missed': 0}, 'COMPLEXITY': {'covered': 1, 'missed': 0}, 'METHOD': {'covered': 1, 'missed': 0}})",340.0,32.0,"Creates a step to initiate processing for all servers in the domain for which a configuration is defined,  checking the configuration of each exporter sidecar and updating it if necessary.","It allows the creation of a pass to start processing all servers in the domain, checking, if defined, the configuration of each export sidecar and updating it if necessary.","If necessary, it creates a step to initiate exporter processing for all the server in the domain that has a configuration defined.",0.332139534007904,"  Creates a step to start processing all servers in the domain for which a configuration is defined, checking the configuration of each exporting sidecar and updating it as needed."
